Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2020-03-10,24453.0,25020.990234375,23690.33984375,25018.16015625,654860000,0.0,1167.140625,23553.220703125
2020-03-11,24604.630859375,24604.630859375,23328.3203125,23553.220703125,663960000,-0.4767,-1464.939453125,21200.619140625
2020-03-12,22184.7109375,22837.94921875,21154.4609375,21200.619140625,908260000,-0.6249,-2352.6015625,23185.619140625
2020-03-13,21973.8203125,23189.759765625,21285.369140625,23185.619140625,843080000,0.0,1985.0,20188.51953125
2020-03-16,20917.529296875,21768.279296875,20116.4609375,20188.51953125,770130000,-0.1253,-2997.099609375,21237.380859375
2020-03-17,20487.05078125,21379.349609375,19882.259765625,21237.380859375,793060000,-0.29569999999999996,1048.861328125,19898.919921875
2020-03-18,20188.689453125,20489.330078125,18917.4609375,19898.919921875,871360000,0.0,-1338.4609375,20087.189453125
2020-03-19,19830.009765625,20442.630859375,19177.130859375,20087.189453125,780300000,0.0,188.26953125,19173.98046875
2020-03-20,20253.150390625,20531.259765625,19094.26953125,19173.98046875,872290000,0.0,-913.208984375,18591.9296875
2020-03-23,19028.359375,19121.009765625,18213.650390625,18591.9296875,787970000,0.34,-582.05078125,20704.91015625
2020-03-24,19722.189453125,20737.69921875,19649.25,20704.91015625,799340000,0.0,2112.98046875,21200.55078125
2020-03-25,21050.33984375,22019.9296875,20538.33984375,21200.55078125,796320000,0.0,495.640625,22552.169921875
2020-03-26,21468.380859375,22595.060546875,21427.099609375,22552.169921875,705180000,0.0,1351.619140625,21636.779296875
2020-03-27,21898.470703125,22327.5703125,21469.26953125,21636.779296875,588830000,0.5818,-915.390625,22327.48046875
2020-03-30,21678.220703125,22378.08984375,21522.080078125,22327.48046875,545540000,0.0,690.701171875,21917.16015625
2020-03-31,22208.419921875,22480.369140625,21852.080078125,21917.16015625,571210000,-0.4338,-410.3203125,20943.509765625
2020-04-01,21227.380859375,21487.240234375,20784.4296875,20943.509765625,506680000,-0.7579,-973.650390625,21413.439453125
2020-04-02,20819.4609375,21477.76953125,20735.01953125,21413.439453125,529540000,-0.2083,469.9296875,21052.529296875
2020-04-03,21285.9296875,21447.810546875,20863.08984375,21052.529296875,450010000,0.0,-360.91015625,22679.990234375
2020-04-06,21693.630859375,22783.44921875,21693.630859375,22679.990234375,610760000,0.4404,1627.4609375,22653.859375
2020-04-07,23537.439453125,23617.240234375,22634.44921875,22653.859375,594660000,0.0,-26.130859375,23433.5703125
2020-04-08,22893.470703125,23513.400390625,22682.990234375,23433.5703125,472740000,0.0,779.7109375,23719.369140625
2020-04-09,23690.66015625,24008.990234375,23504.08984375,23719.369140625,566400000,0.7717,285.798828125,23390.76953125
2020-04-13,23698.9296875,23698.9296875,23095.349609375,23390.76953125,394320000,0.0,-328.599609375,23949.759765625
2020-04-14,23690.5703125,24040.580078125,23683.439453125,23949.759765625,485910000,0.0,558.990234375,23504.349609375
2020-04-15,23600.720703125,23649.720703125,23233.3203125,23504.349609375,437630000,0.0,-445.41015625,23537.6796875
2020-04-16,23543.66015625,23598.080078125,23211.380859375,23537.6796875,471050000,0.0,33.330078125,24242.490234375
2020-04-17,23817.150390625,24264.2109375,23817.150390625,24242.490234375,525950000,0.0,704.810546875,23650.439453125
2020-04-20,24095.099609375,24108.689453125,23627.189453125,23650.439453125,423410000,0.0,-592.05078125,23018.880859375
2020-04-21,23365.25,23365.25,22941.880859375,23018.880859375,485140000,0.0,-631.55859375,23475.8203125
2020-04-22,23437.33984375,23613.099609375,23339.599609375,23475.8203125,352880000,0.0,456.939453125,23515.259765625
2020-04-23,23543.08984375,23885.359375,23483.349609375,23515.259765625,389290000,0.0,39.439453125,23775.26953125
2020-04-24,23628.240234375,23826.0,23417.6796875,23775.26953125,376020000,0.0,260.009765625,24133.779296875
2020-04-27,23866.150390625,24207.650390625,23840.609375,24133.779296875,389390000,0.0,358.509765625,24101.55078125
2020-04-28,24357.169921875,24512.240234375,24031.19921875,24101.55078125,400250000,0.0,-32.228515625,24633.859375
2020-04-29,24490.369140625,24764.76953125,24453.990234375,24633.859375,455290000,0.0,532.30859375,24345.720703125
2020-04-30,24585.5703125,24585.5703125,24186.900390625,24345.720703125,487840000,0.8519,-288.138671875,23723.689453125
2020-05-01,24120.779296875,24120.779296875,23645.30078125,23723.689453125,418160000,0.0,-622.03125,23749.759765625
2020-05-04,23581.55078125,23769.560546875,23361.16015625,23749.759765625,355360000,-0.4019,26.0703125,23883.08984375
2020-05-05,23958.880859375,24169.720703125,23868.91015625,23883.08984375,369710000,0.0,133.330078125,23664.640625
2020-05-06,23978.880859375,24054.58984375,23661.140625,23664.640625,377450000,0.0,-218.44921875,23875.890625
2020-05-07,23837.2109375,24094.619140625,23834.390625,23875.890625,369890000,0.0,211.25,24331.3203125
2020-05-08,24107.8203125,24349.900390625,24107.05078125,24331.3203125,335760000,0.0,455.4296875,24221.990234375
2020-05-11,24256.44921875,24366.2109375,24070.220703125,24221.990234375,352400000,0.014249999999999985,-109.330078125,23764.779296875
